Model,Features,Note,Threshold,ROC-AUC,PR-AUC,Brier,F2,F1,Recall/Sensitivity,Specificity,Precision/PPV,NPV,TP,FP,TN,FN,N,Positive_Rate,Predicted_Positive_Rate
Logistic Regression,BRB Pathways (9-Dim),Baseline threshold selected on validation set,0.5399999999999999,0.8547848721482162,0.4646902097948738,0.1541569365970673,0.540084388185654,0.3878787878787879,0.7314285714285714,0.8086816720257235,0.2639175257731959,0.9697943444730077,128,357,1509,47,2041,0.08574228319451249,0.23762861342479177
Logistic Regression,Raw Features,Baseline threshold selected on validation set,0.5299999999999999,0.8503108252947481,0.4333323188260874,0.1612430688150979,0.5352798053527981,0.3728813559322034,0.7542857142857143,0.785101822079314,0.24765478424015008,0.9714854111405835,132,401,1465,43,2041,0.08574228319451249,0.2611464968152866
Random Forest,Raw Features,Baseline threshold selected on validation set,0.35999999999999993,0.850093400704333,0.4011078165043326,0.10269095036418739,0.5410903173311635,0.3778409090909091,0.76,0.7877813504823151,0.2514177693761815,0.9722222222222222,133,396,1470,42,2041,0.08574228319451249,0.2591866731994121
Random Forest,BRB Pathways (9-Dim),Baseline threshold selected on validation set,0.36999999999999994,0.8431205022201808,0.41498305670976665,0.10328778662931327,0.5333876221498371,0.37268847795163584,0.7485714285714286,0.7872454448017149,0.2481060606060606,0.9709187045604759,131,397,1469,44,2041,0.08574228319451249,0.2586967172954434
LightGBM,Raw Features,Baseline threshold selected on validation set,0.24999999999999994,0.8412433011789925,0.4079625857370248,0.10979851661287655,0.5046197583511016,0.3219954648526077,0.8114285714285714,0.6972132904608789,0.20084865629420084,0.9752623688155923,142,565,1301,33,2041,0.08574228319451249,0.34639882410583045
LightGBM,BRB Pathways (9-Dim),Baseline threshold selected on validation set,0.33999999999999997,0.8388056959118052,0.4030438421864397,0.11712252878101605,0.502706883217324,0.3385416666666667,0.7428571428571429,0.7518756698821008,0.21922428330522767,0.9689226519337016,130,463,1403,45,2041,0.08574228319451249,0.2905438510534052
ER Causal-BRB (Isotonic calibrated),BRB Pathways + Global_unc,Anchor uses full training set; calibration trained on independent calibration set,0.08,0.8073648752105345,0.2611812913942971,0.0682087152951717,0.5265339966832504,0.37298091042584436,0.7257142857142858,0.7968917470525188,0.2509881422924901,0.968729641693811,127,379,1487,48,2041,0.08574228319451249,0.24791768740813327
ER Causal-BRB (Platt calibrated),BRB Pathways + Global_unc,Anchor uses full training set; calibration trained on independent calibration set,0.10999999999999999,0.8067952840300108,0.2611812913942971,0.06902004414906625,0.5265339966832504,0.37298091042584436,0.7257142857142858,0.7968917470525188,0.2509881422924901,0.968729641693811,127,379,1487,48,2041,0.08574228319451249,0.24791768740813327
ER Causal-BRB (Raw),BRB Pathways + Global_unc,Anchor uses full training set; threshold selected on validation set,0.5099999999999999,0.8067952840300108,0.2611812913942971,0.15044856898912004,0.5265339966832504,0.37298091042584436,0.7257142857142858,0.7968917470525188,0.2509881422924901,0.968729641693811,127,379,1487,48,2041,0.08574228319451249,0.24791768740813327
